,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
63,/beegfs/desy/user/kaechben/t/2022_07_01-15_19-32/train_0/lightning_logs/version_0,3.0,176.0,10000.0,18.0,0.0002373968208928,True,6.0,7.0,150000.0,90.0,0.1057918190017383,False,1000.0,False,15000.0,0.0203350045740811,5000.0,5.0,t,False,False,1.0,1.0,True,t,False,0.4641150156656901,3.075229478584049,0.0717762236103268,0.5710000000000001,0.0010839182498119,4.123985527046327e-05,0.0008578574047415,14960.0,19708.09512257576
79,/beegfs/desy/user/kaechben/t/2022_07_01-15_18-35/train_2/lightning_logs/version_0,3.0,111.0,10000.0,19.0,0.0001346121411881,True,5.0,7.0,150000.0,90.0,0.0088328031913201,False,1000.0,False,15000.0,43.65113888215722,10000.0,5.0,t,False,False,1.0,1.0,True,t,False,0.5153878106011285,4.319699308976908,0.0708452542896056,0.554,0.0013059771236404,5.774961219374826e-05,0.0011260481392406,14960.0,18681.746841669083
81,/beegfs/desy/user/kaechben/t/2022_07_01-15_14-37/train_4/lightning_logs/version_0,4.0,122.0,10000.0,13.0,0.0002044048660913,True,5.0,5.0,150000.0,90.0,0.0240107711877188,False,1000.0,False,15000.0,0.6295097916390068,10000.0,5.0,t,False,False,1.0,1.0,True,t,False,0.4858807457817925,3.917955907776445,0.0710394358519653,0.5780000000000001,0.0013207024676911,4.352134141643285e-05,0.0009430654164409,14960.0,12338.794426202774
66,/beegfs/desy/user/kaechben/t/2022_07_01-15_32-55/train_0/lightning_logs/version_0,4.0,229.0,10000.0,13.0,0.0003256377496543,True,4.0,8.0,150000.0,90.0,0.0844263477783051,False,1000.0,False,15000.0,0.0239000090657197,10000.0,5.0,t,False,False,1.0,1.0,True,t,False,0.5272384643554687,3.2065038941646264,0.0698548937472267,0.5850000000000001,0.0013406940296851,3.283244231350956e-05,0.0010382455007466,14960.0,15856.968954086304
61,/beegfs/desy/user/kaechben/t/2022_07_01-15_14-37/train_0/lightning_logs/version_0,3.0,103.0,10000.0,18.0,0.0003697600395688,True,6.0,3.0,150000.0,90.0,0.2366081969266557,False,1000.0,False,15000.0,0.3660017863456367,5000.0,5.0,t,False,False,1.0,1.0,True,t,False,0.4521989610460069,4.53015925880149,0.0721974144402452,0.5810000000000001,0.0013564444700628,7.799420953509468e-05,0.0011468722682358,14960.0,12742.90319776535
