,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
64,/beegfs/desy/user/kaechben/t/2022_07_01-15_30-00/train_0/lightning_logs/version_0,3.0,67.0,10000.0,14.0,0.0004514371000196,True,4.0,6.0,150000.0,90.0,0.462548612126244,False,1000.0,False,15000.0,0.027299409946791,10000.0,5.0,t,False,False,0.0,1.0,True,t,False,0.4701057857937283,6.50976297328944,0.0708213290792727,0.5850000000000001,0.0060321937807649,0.0001429329082224,0.0020981329752422,14960.0,13389.620318889618
92,/beegfs/desy/user/kaechben/t/2022_07_01-15_30-00/train_5/lightning_logs/version_0,5.0,179.0,10000.0,16.0,0.0006297023167915,True,4.0,5.0,150000.0,90.0,0.4256623544738696,False,1000.0,False,15000.0,87.20353503448041,5000.0,5.0,t,False,False,0.0,1.0,True,t,False,0.4778322431776258,6.275411577435875,0.0713308036837208,0.572,0.0062523886973597,0.0001293644933292,0.0024069493490607,2200.0,2883.4973061084747
75,/beegfs/desy/user/kaechben/t/2022_07_01-15_32-55/train_2/lightning_logs/version_0,3.0,193.0,10000.0,11.0,0.0003648931408538,True,6.0,7.0,150000.0,90.0,0.1717455743209273,False,1000.0,False,15000.0,0.040090459393022,10000.0,5.0,t,False,False,0.0,1.0,True,t,False,0.4420739067925347,6.301323429122618,0.0695036571317737,0.583,0.0065951152847893,0.0001312172238797,0.0027525990689544,14960.0,11799.069096565248
70,/beegfs/desy/user/kaechben/t/2022_07_01-15_32-55/train_1/lightning_logs/version_0,4.0,123.0,10000.0,14.0,0.0003053865683508,True,4.0,9.0,150000.0,90.0,0.4665355172465249,False,1000.0,False,15000.0,53.17452196219623,10000.0,5.0,t,False,False,0.0,1.0,True,t,False,0.4443159739176432,6.91496993295894,0.070124268265911,0.603,0.0069325344583392,0.0001451400915073,0.0027074366827238,14960.0,13818.697391033173
85,/beegfs/desy/user/kaechben/t/2022_07_01-15_18-35/train_3/lightning_logs/version_0,3.0,195.0,10000.0,16.0,0.0001185177783545,True,6.0,6.0,150000.0,90.0,0.3675078191373431,False,1000.0,False,15000.0,0.096433071650815,10000.0,5.0,t,False,False,0.0,1.0,True,t,False,0.4748993343777127,7.278648079858897,0.0699081039120692,0.589,0.0069539161976613,0.0001392795632107,0.0027259305917016,7040.0,8013.361401796341
