,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
150,/beegfs/desy/user/kaechben/q/2022_07_01-11_23-10/train_0/lightning_logs/version_0,4.0,195.0,10000.0,14.0,0.000865384056837,True,6.0,9.0,150000.0,90.0,0.0763923145759437,False,1000.0,False,15000.0,0.0620797336900438,5000.0,5.0,q,False,False,1.0,1.0,True,q,False,0.0333894491195678,1.5587075226365528,0.0271549045864037,0.445,0.0005385352802462,1.544713489569986e-05,0.0014479146191574,1080.0,1390.428026676178
90,/beegfs/desy/user/kaechben/q/2022_06_30-18_22-09/train_2/lightning_logs/version_4,4.0,200.0,10000.0,12.0,0.000709463695593,True,4.0,9.0,150000.0,90.0,0.1649310485782337,False,1000.0,False,10000.0,11.77112910921129,10000.0,5.0,q,False,False,1.0,1.0,True,q,False,-0.1510482258266872,0.870785115998558,0.023664501123424,0.547,0.0005402867010887,7.793566557569683e-06,0.0009485743202736,9960.0,8494.29910993576
86,/beegfs/desy/user/kaechben/q/2022_06_30-18_22-44/train_1/lightning_logs/version_0,5.0,140.0,10000.0,16.0,0.0005572757190279,True,6.0,8.0,150000.0,90.0,0.3815572672532779,False,1000.0,False,10000.0,0.0581333206518501,10000.0,5.0,q,False,False,1.0,1.0,True,q,False,-0.2040039910210503,0.9865417287424236,0.0242846754601517,0.499,0.0005516741532459,8.008523686056026e-06,0.0011674247024791,9960.0,12143.761580228806
138,/beegfs/desy/user/kaechben/q/2022_06_30-18_22-48/train_4/lightning_logs/version_0,5.0,272.0,10000.0,13.0,0.0006813548878583,True,6.0,5.0,150000.0,90.0,0.4680663895736426,False,1000.0,False,10000.0,0.6518597036424281,10000.0,5.0,q,False,False,1.0,1.0,True,q,False,-0.1947404225667317,1.2345229088131475,0.022470401133047,0.5120000000000001,0.0005576919269841,7.818289950986339e-06,0.0013998892570944,5760.0,8280.249917984009
82,/beegfs/desy/user/kaechben/q/2022_06_30-18_22-09/train_2/lightning_logs/version_0,5.0,131.0,10000.0,19.0,0.0004107209712027,True,6.0,9.0,150000.0,90.0,0.1678296325717855,False,1000.0,False,10000.0,0.0460564790627885,10000.0,5.0,q,False,False,1.0,1.0,True,q,False,-0.1699218008253309,0.9456675411093158,0.0246424692836181,0.521,0.0005902133484929,8.425481507187012e-06,0.0007616080480433,9960.0,10276.288595199583
