,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
16,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-20/train_4/lightning_logs/version_0,4.0,122.0,10000.0,18.0,0.000656333942392,False,7.0,6.0,150000.0,90.0,0.4807089251026418,False,1000.0,False,6000.0,0.1040587866685866,6000.0,5.0,q,False,True,2.0,1.0,True,q,False,-0.0115022778511047,2.365071981341345,0.0239050063268988,0.478,0.0005991692754812,1.0883102080179291e-05,0.0011167849822631,6000.0,9482.842293262482
23,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-19/train_5/lightning_logs/version_1,4.0,152.0,10000.0,14.0,0.0002736275176815,True,5.0,9.0,150000.0,90.0,0.3949515844251419,False,1000.0,False,6000.0,4.061349025863967,6000.0,5.0,q,False,True,2.0,1.0,True,q,False,0.1087984402974446,2.184900895917309,0.0230523884681851,0.491,0.0007689138810057,1.1695417338011948e-05,0.0014532957402422,6000.0,9204.800446510317
34,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-15/train_9/lightning_logs/version_0,4.0,150.0,10000.0,17.0,0.0003855391268527,False,5.0,7.0,150000.0,90.0,0.0347231948954222,False,1000.0,False,6000.0,0.0350254303698953,6000.0,5.0,q,False,True,2.0,1.0,True,q,False,-0.0085769176483154,1.6910653384283592,0.023887912094228,0.492,0.0011347369673568,1.1005966405797018e-05,0.001297218184716,5640.0,9066.38925933838
28,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-19/train_7/lightning_logs/version_0,5.0,97.0,10000.0,11.0,0.0008638959120837,True,4.0,9.0,150000.0,90.0,0.3170521129423241,False,1000.0,False,6000.0,0.0139743854832296,3000.0,5.0,q,False,True,2.0,1.0,True,q,False,-0.0370250092612372,1.66368197222954,0.0245965907431058,0.516,0.0011930504764057,1.144990888329655e-05,0.0010110493990279,6000.0,6387.835057258606
30,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-20/train_7/lightning_logs/version_0,3.0,69.0,10000.0,19.0,0.0001952724915265,False,5.0,5.0,150000.0,90.0,0.1013646911349797,False,1000.0,False,6000.0,115.86773429254892,6000.0,5.0,q,False,True,2.0,1.0,True,q,False,0.1071518580118815,6.005431935343808,0.02560552199031,0.4389999999999999,0.0015019521574489,2.758021984313832e-05,0.0008707886066213,6000.0,8223.646263360977
