,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
98,/beegfs/desy/user/kaechben/g/2022_06_30-09_52-01/train_5/lightning_logs/version_0,5.0,144.0,10000.0,16.0,0.0001625139195757,True,5.0,9.0,150000.0,90.0,0.0123259819793513,False,1000.0,False,10000.0,2.1150973762334067,10000.0,5.0,g,False,True,0.0,1.0,True,g,False,0.5074853261311849,1.1122977543006414,0.0339474523762472,0.5660000000000001,0.0031689918182417,3.0742283364550315e-05,0.001503821471217,9900.0,14738.457035064695
100,/beegfs/desy/user/kaechben/g/2022_06_30-09_52-01/train_6/lightning_logs/version_0,3.0,241.0,10000.0,14.0,0.0002155672108828,True,6.0,7.0,150000.0,90.0,0.1941235428796096,False,1000.0,False,10000.0,0.1161005706987533,5000.0,5.0,g,False,True,0.0,1.0,True,g,False,0.4537184821234809,2.029911643179105,0.0344067596042916,0.5370000000000001,0.0037784300303086,2.8785295561545093e-05,0.0018789908465875,660.0,804.0467638969421
94,/beegfs/desy/user/kaechben/g/2022_06_30-09_52-01/train_1/lightning_logs/version_1,4.0,246.0,10000.0,13.0,0.0001650457569007,True,6.0,9.0,150000.0,90.0,0.2703220757324945,False,1000.0,False,10000.0,22.356187186916653,5000.0,5.0,g,False,True,0.0,1.0,True,g,False,0.4058030446370442,1.763713801869642,0.032954650758047,0.55,0.0044793131965398,3.3891699499878625e-05,0.001878789773481,9900.0,10793.595632314682
99,/beegfs/desy/user/kaechben/g/2022_06_30-09_52-01/train_2/lightning_logs/version_1,4.0,230.0,10000.0,10.0,0.0003156252270924,True,4.0,8.0,150000.0,90.0,0.2831361545729143,False,1000.0,False,10000.0,0.1044838516191888,5000.0,5.0,g,False,True,0.0,1.0,True,g,False,0.4064048767089844,2.406581612240018,0.0346458066214472,0.5579999999999999,0.0053911667358689,4.165335387633611e-05,0.0025481796136611,7150.0,6703.451722145081
93,/beegfs/desy/user/kaechben/g/2022_06_30-09_52-01/train_1/lightning_logs/version_0,3.0,213.0,10000.0,16.0,0.0004726958229698,True,6.0,4.0,150000.0,90.0,0.1249128033817015,False,1000.0,False,10000.0,0.5120297274557514,10000.0,5.0,g,False,True,0.0,1.0,True,g,False,0.510826153225369,7.734039404813444,0.030033601656411,0.55,0.0097983038773201,8.296370082183459e-05,0.0047758281179237,9900.0,13185.26712679863
