,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
86,/beegfs/desy/user/kaechben/t/2022_07_01-15_19-32/train_3/lightning_logs/version_0,5.0,141.0,10000.0,19.0,0.000221461367938,True,6.0,6.0,150000.0,90.0,0.0948474993795183,False,1000.0,False,15000.0,0.6531678585959827,10000.0,5.0,t,False,False,2.0,1.0,True,t,False,0.4343164655897352,3.360512952995577,0.071901214711741,0.567,0.0006883120047301,3.7500399969527615e-05,0.001739873732347,14740.0,25808.992455482483
77,/beegfs/desy/user/kaechben/t/2022_07_01-15_14-37/train_3/lightning_logs/version_0,5.0,125.0,10000.0,10.0,0.0005261080696732,True,6.0,6.0,150000.0,90.0,0.3089400176415376,False,1000.0,False,15000.0,14.02507866323502,10000.0,5.0,t,False,False,2.0,1.0,True,t,False,0.4122458987765842,3.517671439241724,0.0708469460581447,0.5740000000000001,0.001018357793875,5.251974874353995e-05,0.0014062079700642,14960.0,11599.848485708237
59,/beegfs/desy/user/kaechben/t/2022_07_01-12_58-33/train_0/lightning_logs/version_0,5.0,242.0,10000.0,12.0,0.0002128162521082,True,6.0,4.0,150000.0,90.0,0.2439366578203068,False,1000.0,False,15000.0,0.0381663286668629,5000.0,5.0,t,False,False,2.0,1.0,True,t,False,0.4983611636691623,4.723116059909785,0.0742310824328577,0.5509999999999999,0.0010386599018238,9.750887502112948e-05,0.0018052500355311,3630.0,4882.555155038834
91,/beegfs/desy/user/kaechben/t/2022_07_01-15_14-37/train_6/lightning_logs/version_0,5.0,76.0,10000.0,17.0,0.000442736698234,True,5.0,7.0,150000.0,90.0,0.1637880636296584,False,1000.0,False,15000.0,3.1158325235115765,10000.0,5.0,t,False,False,2.0,1.0,True,t,False,0.4238651275634765,3.777483855885521,0.0706266154504865,0.583,0.0011337499553151,5.342218319414036e-05,0.0017246864369659,11660.0,12641.97201013565
72,/beegfs/desy/user/kaechben/t/2022_07_01-15_19-32/train_1/lightning_logs/version_0,4.0,200.0,10000.0,14.0,0.0006606233448707,True,6.0,4.0,150000.0,90.0,0.1795224056373978,False,1000.0,False,15000.0,0.7898229097382793,5000.0,5.0,t,False,False,2.0,1.0,True,t,False,0.4578186882866753,2.671921701580061,0.0710045340039738,0.5549999999999999,0.0013102817501872,2.867924488517409e-05,0.0010268048849117,14960.0,19648.30550956726
