,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
66,/beegfs/desy/user/kaechben/g/2022_06_29-16_14-12/train_3/lightning_logs/version_5,4.0,67.0,10000.0,15.0,0.0001026190376827,True,6.0,6.0,150000.0,90.0,0.0205696351102089,False,1000.0,False,10000.0,15.820352674972035,10000.0,5.0,g,False,True,1.0,1.0,True,g,False,0.4112372928195529,1.718044900276709,0.0345267861818185,0.5499999999999999,0.000599036511518,1.814697231975837e-05,0.0006771277128767,9900.0,14748.344396352768
14,/beegfs/desy/user/kaechben/g/2022_06_28-16_49-26/train_3/lightning_logs/version_0,4.0,196.0,10000.0,11.0,0.0003501422700594,True,8.0,6.0,150000.0,90.0,0.2923155280145462,False,1000.0,False,6000.0,0.0357211603300899,6000.0,5.0,g,False,True,1.0,1.0,True,g,False,0.3799435085720486,1.2030260507037838,0.0360851318262995,0.537,0.0008055894411727,1.264460662392637e-05,0.0004647213629805,5940.0,8487.226485729218
62,/beegfs/desy/user/kaechben/g/2022_06_29-16_14-12/train_3/lightning_logs/version_2,3.0,202.0,10000.0,15.0,0.0001311813290724,True,5.0,6.0,150000.0,90.0,0.1656868640032306,False,1000.0,False,10000.0,0.6711781856856774,5000.0,5.0,g,False,True,1.0,1.0,True,g,False,0.3853622012668186,0.9179360060670092,0.0364241436076237,0.5520000000000002,0.0008136605788394,1.0074078782122407e-05,0.0006661278281548,9900.0,8434.167956590652
82,/beegfs/desy/user/kaechben/g/2022_06_29-16_14-12/train_5/lightning_logs/version_2,5.0,128.0,10000.0,19.0,0.0002038090444391,True,5.0,9.0,150000.0,90.0,0.1714709851217608,False,1000.0,False,10000.0,25.743323178347296,10000.0,5.0,g,False,True,1.0,1.0,True,g,False,0.3795221116807725,0.7265452024529964,0.0365480306625728,0.529,0.0008160107094235,9.266855236313754e-06,0.0006449242307388,8800.0,10900.419449329376
83,/beegfs/desy/user/kaechben/g/2022_06_29-16_14-12/train_5/lightning_logs/version_3,5.0,113.0,10000.0,16.0,0.0009426760085044,True,4.0,7.0,150000.0,90.0,0.317811880248903,False,1000.0,False,10000.0,54.03818466215749,10000.0,5.0,g,False,True,1.0,1.0,True,g,False,0.3757206386990017,0.6533203649474899,0.0358584968185062,0.5509999999999999,0.0008377303527481,9.67680486314885e-06,0.0010308361632968,8360.0,10607.15635561943
