,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
111,/beegfs/desy/user/kaechben/g/2022_07_01-12_10-11/train_3/lightning_logs/version_2,4.0,294.0,10000.0,10.0,0.0001052411392693,True,6.0,8.0,150000.0,90.0,0.4183396136763045,False,1000.0,False,15000.0,0.0191483740736913,10000.0,5.0,g,False,False,0.0,1.0,True,g,False,0.3919459025065104,2.0007941449833027,0.0344640774368516,0.5349999999999999,0.004894438483119,4.057949002839561e-05,0.0020761165705325,14960.0,15453.57233452797
105,/beegfs/desy/user/kaechben/g/2022_07_01-12_10-11/train_1/lightning_logs/version_2,5.0,253.0,10000.0,11.0,0.00023006651098,True,6.0,5.0,150000.0,90.0,0.4380040998034291,False,1000.0,False,15000.0,0.0243160891629157,10000.0,5.0,g,False,False,0.0,1.0,True,g,False,0.4087164984809028,4.833658342093486,0.0314146388317476,0.5569999999999999,0.0075223193419538,6.29970577355858e-05,0.0038183089988231,14960.0,17029.038355350494
112,/beegfs/desy/user/kaechben/g/2022_07_01-12_10-11/train_4/lightning_logs/version_0,4.0,191.0,10000.0,14.0,0.0001795263391243,True,5.0,4.0,150000.0,90.0,0.2087600015013802,False,1000.0,False,15000.0,0.5552181944191813,5000.0,5.0,g,False,False,0.0,1.0,True,g,False,0.4261295742458767,13.759076428451806,0.029817842649891,0.572,0.0111669331484846,9.251278422103013e-05,0.0061887268383202,7150.0,8740.949639081955
110,/beegfs/desy/user/kaechben/g/2022_07_01-12_10-11/train_3/lightning_logs/version_1,5.0,200.0,10000.0,13.0,0.0002507136154885,True,6.0,4.0,150000.0,90.0,0.49874530193714,False,1000.0,False,15000.0,0.0171889294194833,10000.0,5.0,g,False,False,0.0,1.0,True,g,False,0.4206673516167534,13.871964299330044,0.0298095057389494,0.5740000000000001,0.0116985966049507,9.146491376196491e-05,0.0063881691985392,14960.0,19609.67105269432
103,/beegfs/desy/user/kaechben/g/2022_07_01-12_10-11/train_1/lightning_logs/version_1,3.0,213.0,10000.0,13.0,0.0004487525295434,True,5.0,4.0,150000.0,90.0,0.3286336730467193,False,1000.0,False,15000.0,0.0174322187702002,10000.0,5.0,g,False,False,0.0,1.0,True,g,False,0.4331118689643012,13.94206450431392,0.0298345758105441,0.5459999999999999,0.0121950182944722,9.29215424534908e-05,0.005866189513988,14960.0,16006.310923099518
