,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
59,/beegfs/desy/user/kaechben/q/2022_06_30-12_34-22/train_2/lightning_logs/version_0,4.0,234.0,10000.0,17.0,0.0005821252848221,True,4.0,9.0,150000.0,90.0,0.1493919352893835,False,1000.0,False,10000.0,13.199019806543513,10000.0,5.0,q,False,True,0.0,1.0,True,q,False,-0.062836562262641,1.5762479024870686,0.0229818730180928,0.532,0.0030763580900803,2.0890031265006536e-05,0.0014929527188687,4200.0,4196.241894483566
51,/beegfs/desy/user/kaechben/q/2022_06_30-09_52-20/train_2/lightning_logs/version_0,3.0,150.0,10000.0,14.0,0.0002749178498777,True,5.0,9.0,150000.0,90.0,0.0112458825129211,False,1000.0,False,10000.0,9.701103566977157,10000.0,5.0,q,False,True,0.0,1.0,True,q,False,-0.0799822966257731,2.1118520569006023,0.0220761957545636,0.486,0.0032898334234673,2.0726026736508977e-05,0.0018378065947089,9960.0,9570.560152292252
41,/beegfs/desy/user/kaechben/q/2022_06_30-09_52-20/train_0/lightning_logs/version_0,5.0,199.0,10000.0,13.0,0.0006332012053656,True,6.0,9.0,150000.0,90.0,0.0258267886956224,False,1000.0,False,10000.0,1.7759193758023313,5000.0,5.0,q,False,True,0.0,1.0,True,q,False,0.0043422583076688,2.3053015214931065,0.02191691085764,0.544,0.003770042998977,2.57677008434114e-05,0.0023531195735747,6840.0,9388.456070661545
53,/beegfs/desy/user/kaechben/q/2022_06_30-12_34-22/train_1/lightning_logs/version_0,5.0,91.0,10000.0,16.0,0.0002238960175555,True,5.0,8.0,150000.0,90.0,0.1436408954729529,False,1000.0,False,10000.0,0.1549636369862565,5000.0,5.0,q,False,True,0.0,1.0,True,q,False,-0.0888758765326605,2.997957420642706,0.0219031652513851,0.5269999999999999,0.0041184715235698,3.042484116962605e-05,0.002591224137402,9960.0,10244.812183380129
48,/beegfs/desy/user/kaechben/q/2022_06_30-09_54-29/train_1/lightning_logs/version_0,5.0,70.0,10000.0,16.0,0.0005819308949118,True,6.0,7.0,150000.0,90.0,0.2226983620044765,False,1000.0,False,10000.0,0.3237437680703586,5000.0,5.0,q,False,True,0.0,1.0,True,q,False,-0.1390179104275173,2.5413170453845453,0.0215965983496002,0.5199999999999999,0.0041910739064496,3.2693734759199305e-05,0.0015393907031127,9960.0,13920.699116945269
