,path_index,network_layers,network_nodes,batch_size,coupling_layers,lr,batchnorm,bins,tail_bound,limit,n_dim,dropout,lr_schedule,n_sched,canonical,max_steps,lambda,n_mse_turnoff,n_mse_delay,name,disc,calc_massloss,context_features,variable,spline,parton,oversampling,val_logprob,val_fpnd,val_mmd,val_cov,val_w1m,val_w1efp,val_w1p,step,time
11,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-19/train_3/lightning_logs/version_0,4.0,116.0,10000.0,19.0,0.0008635092463753,False,9.0,9.0,150000.0,90.0,0.0063292634450536,False,1000.0,False,6000.0,7.800882093008213,3000.0,5.0,q,False,True,1.0,1.0,True,q,False,-0.0777088907029893,0.647331226229312,0.0256249248342335,0.513,0.0005377114612236,9.196686143597114e-06,0.0007443946906835,6000.0,7293.606638908386
0,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-19/train_0/lightning_logs/version_0,5.0,224.0,10000.0,10.0,0.000848100365431,False,4.0,5.0,150000.0,90.0,0.0166479043796847,False,1000.0,False,6000.0,159.36884067331764,3000.0,5.0,q,False,True,1.0,1.0,True,q,False,-0.0838702890608045,1.4772312256757232,0.0248065229671256,0.493,0.0007493998529575,9.33725308854054e-06,0.001262421807692,6000.0,6877.948672533035
3,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-20/train_1/lightning_logs/version_0,5.0,285.0,10000.0,11.0,0.0005957303297701,False,5.0,9.0,150000.0,90.0,0.2703539924802623,False,1000.0,False,6000.0,0.2715898291033753,3000.0,5.0,q,False,True,1.0,1.0,True,q,False,-0.1177902963426378,0.8584226814236331,0.0231207894892253,0.509,0.0014782924223039,8.151712767528278e-06,0.0006723121052816,6000.0,8355.18343758583
9,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-19/train_2/lightning_logs/version_1,3.0,190.0,10000.0,14.0,0.0002231101902124,True,4.0,9.0,150000.0,90.0,0.0392694089443114,False,1000.0,False,6000.0,2.678245417752653,3000.0,5.0,q,False,True,1.0,1.0,True,q,False,-0.0772917906443278,1.6733474804490245,0.0233392518087732,0.514,0.0016559056395851,1.2626971320081029e-05,0.0013162516938716,6000.0,8291.271622896194
25,/beegfs/desy/user/kaechben/q/2022_06_28-16_49-19/train_6/lightning_logs/version_0,3.0,223.0,10000.0,19.0,9.593159467813384e-05,True,5.0,8.0,150000.0,90.0,0.2780360172449195,False,1000.0,False,6000.0,154.75808079393045,3000.0,5.0,q,False,True,1.0,1.0,True,q,False,-0.0723285833994547,2.0610307981439746,0.0222246378780294,0.5189999999999999,0.0017867255081795,1.059920963632822e-05,0.0011507432619343,6000.0,7748.31470990181
